PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PROVEEDOR,COSTO_MERCANCIA_PORCENTAJE_VENTA,PRECIO_LISTA_PROMEDIO,ROTACION
Alivio de mordedura de insectos,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,16402.0,Alta
Arnés Extremo Husky,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,9099.0,Alta
Balon de Futbol Adidas,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Adidas,Adidas Distribucion Andina,0.55,6618.0,Alta
Balon de Microfutbol Golty,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Golty,Golty Colombia,0.55,13202.0,Alta
Batería recargable Firefly,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Firefly,Importadora Cumbre Outdoor,0.50,5995.0,Alta
Bloqueador solar,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,8628.0,Alta
Bolsa de golf Course Pro,Golf,Equipo de Golf,Course Pro,Importadora Cumbre Outdoor,0.45,5043.0,Alta
BugShield Lotion Lite,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,8187.0,Baja
BugShield Spray,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,7886.0,Media
Camiseta Deportiva,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,11553.0,Alta
Canyon Mule Carryall,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8070.0,Baja
Casco de escalada de granito,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8449.0,Alta
GPS glaciar,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,22094.0,Alta
Gorra Deportiva,Ropa y Accesorios Deportivos,Ropa Deportiva,Marca propia Cumbre,Importadora Cumbre Outdoor,0.52,18968.0,Alta
Guantes de Arquero Nike,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Nike,Nike LATAM S.A.,0.55,6418.0,Alta
Guayos Nike Cr-10,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8099.0,Baja
Guayos Nike Cr-100,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8600.0,Media
Guayos Nike Cr-101,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8453.0,Media
Guayos Nike Cr-102,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8249.0,Media
Guayos Nike Cr-103,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8243.0,Alta
Guayos Nike Cr-104,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7956.0,Baja
Guayos Nike Cr-105,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8381.0,Alta
Guayos Nike Cr-106,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8140.0,Alta
Guayos Nike Cr-107,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8091.0,Alta
Guayos Nike Cr-108,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8139.0,Baja
Guayos Nike Cr-109,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8121.0,Media
Guayos Nike Cr-11,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8636.0,Media
Guayos Nike Cr-110,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8195.0,Media
Guayos Nike Cr-111,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8188.0,Baja
Guayos Nike Cr-112,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8490.0,Alta
Guayos Nike Cr-113,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8175.0,Media
Guayos Nike Cr-114,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8524.0,Media
Guayos Nike Cr-115,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7870.0,Media
Guayos Nike Cr-116,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8071.0,Media
Guayos Nike Cr-117,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7971.0,Media
Guayos Nike Cr-118,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8255.0,Media
Guayos Nike Cr-119,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8138.0,Media
Guayos Nike Cr-12,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8274.0,Baja
Guayos Nike Cr-120,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8248.0,Alta
Guayos Nike Cr-121,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8207.0,Baja
Guayos Nike Cr-122,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8339.0,Media
Guayos Nike Cr-13,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8616.0,Baja
Guayos Nike Cr-14,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8494.0,Alta
Guayos Nike Cr-15,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8380.0,Media
Guayos Nike Cr-16,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8757.0,Baja
Guayos Nike Cr-17,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8777.0,Baja
Guayos Nike Cr-18,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8664.0,Media
Guayos Nike Cr-19,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8738.0,Baja
Guayos Nike Cr-20,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,9140.0,Media
Guayos Nike Cr-21,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8566.0,Media
Guayos Nike Cr-22,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8745.0,Media
Guayos Nike Cr-23,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7946.0,Alta
Guayos Nike Cr-24,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8090.0,Media
Guayos Nike Cr-25,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8008.0,Media
Guayos Nike Cr-26,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8406.0,Media
Guayos Nike Cr-27,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8240.0,Baja
Guayos Nike Cr-28,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8221.0,Baja
Guayos Nike Cr-29,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8460.0,Media
Guayos Nike Cr-30,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8116.0,Media
Guayos Nike Cr-31,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8188.0,Media
Guayos Nike Cr-32,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8695.0,Baja
Guayos Nike Cr-33,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8449.0,Media
Guayos Nike Cr-34,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8136.0,Alta
Guayos Nike Cr-35,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8521.0,Baja
Guayos Nike Cr-36,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8268.0,Baja
Guayos Nike Cr-37,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8510.0,Baja
Guayos Nike Cr-38,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8572.0,Media
Guayos Nike Cr-39,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8644.0,Baja
Guayos Nike Cr-40,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8304.0,Baja
Guayos Nike Cr-41,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8161.0,Alta
Guayos Nike Cr-42,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8363.0,Media
Guayos Nike Cr-43,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8371.0,Baja
Guayos Nike Cr-44,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8466.0,Media
Guayos Nike Cr-45,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8285.0,Alta
Guayos Nike Cr-46,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8101.0,Media
Guayos Nike Cr-47,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8507.0,Media
Guayos Nike Cr-48,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8628.0,Alta
Guayos Nike Cr-49,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8180.0,Alta
Guayos Nike Cr-50,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8623.0,Alta
Guayos Nike Cr-51,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7870.0,Media
Guayos Nike Cr-52,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8175.0,Baja
Guayos Nike Cr-53,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8205.0,Baja
Guayos Nike Cr-54,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8123.0,Media
Guayos Nike Cr-55,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8173.0,Baja
Guayos Nike Cr-56,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8043.0,Alta
Guayos Nike Cr-57,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8275.0,Baja
Guayos Nike Cr-58,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8410.0,Media
Guayos Nike Cr-59,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8530.0,Media
Guayos Nike Cr-60,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8497.0,Media
Guayos Nike Cr-61,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8141.0,Media
Guayos Nike Cr-62,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8383.0,Baja
Guayos Nike Cr-63,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8402.0,Media
Guayos Nike Cr-64,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8349.0,Media
Guayos Nike Cr-65,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8394.0,Alta
Guayos Nike Cr-66,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8163.0,Baja
Guayos Nike Cr-67,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8301.0,Baja
Guayos Nike Cr-68,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8584.0,Baja
Guayos Nike Cr-69,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8392.0,Baja
Guayos Nike Cr-7,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,6132.0,Alta
Guayos Nike Cr-70,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8437.0,Baja
Guayos Nike Cr-71,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8351.0,Baja
Guayos Nike Cr-72,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8251.0,Media
Guayos Nike Cr-73,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8224.0,Baja
Guayos Nike Cr-74,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8052.0,Alta
Guayos Nike Cr-75,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8327.0,Baja
Guayos Nike Cr-76,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8210.0,Media
Guayos Nike Cr-77,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8156.0,Baja
Guayos Nike Cr-78,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8624.0,Alta
Guayos Nike Cr-79,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8173.0,Alta
Guayos Nike Cr-8,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8248.0,Baja
Guayos Nike Cr-80,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8315.0,Baja
Guayos Nike Cr-81,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8331.0,Alta
Guayos Nike Cr-82,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8079.0,Baja
Guayos Nike Cr-83,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8305.0,Media
Guayos Nike Cr-84,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8419.0,Alta
Guayos Nike Cr-85,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8094.0,Media
Guayos Nike Cr-86,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8217.0,Baja
Guayos Nike Cr-87,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8027.0,Alta
Guayos Nike Cr-88,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8035.0,Baja
Guayos Nike Cr-89,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8424.0,Alta
Guayos Nike Cr-9,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8167.0,Baja
Guayos Nike Cr-90,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8178.0,Baja
Guayos Nike Cr-91,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8411.0,Media
Guayos Nike Cr-92,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8132.0,Baja
Guayos Nike Cr-93,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8129.0,Media
Guayos Nike Cr-94,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7962.0,Media
Guayos Nike Cr-95,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8142.0,Baja
Guayos Nike Cr-96,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8565.0,Baja
Guayos Nike Cr-97,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8387.0,Baja
Guayos Nike Cr-98,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8124.0,Alta
Guayos Nike Cr-99,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8143.0,Baja
Husky Cuerda 200,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,18488.0,Alta
Juego TrailChef Deluxe Cook,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,12233.0,Alta
Kit de alivio compacto,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,5065.0,Alta
Kit de cocina TrailChef,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,6316.0,Alta
Loción BugShield,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,10266.0,Alta
Lámpara EverGlow,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,2838.0,Alta
Lámpara de escalada Firefly,Camping y Montanismo,Equipo Outdoor General,Firefly,Importadora Cumbre Outdoor,0.58,5654.0,Alta
Maletin Adidas,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Adidas,Adidas Distribucion Andina,0.55,9944.0,Alta
Martillo de granito,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,5162.0,Alta
Mirador Star,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8489.0,Baja
Mochila Canyon Mula Weekender,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,21632.0,Alta
Mochila Canyon Mule Journey,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8306.0,Baja
Mountain Man Extreme,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,5425.0,Alta
Palo Course Pro,Golf,Equipo de Golf,Course Pro,Importadora Cumbre Outdoor,0.45,8148.0,Alta
Pantaloneta,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,8766.0,Alta
Set de Madera Lady Hailstorm Titanium,Golf,Equipo de Golf,Marca propia Cumbre,Importadora Cumbre Outdoor,0.45,19642.0,Alta
Silvato Arbitro,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,13708.0,Alta
Star Gazer 3,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8369.0,Baja
Sudadera Puma,Ropa y Accesorios Deportivos,Ropa Deportiva,Puma,Puma Sports Group,0.52,17120.0,Alta
Termo de Bicicleta,Ciclismo,Accesorios de Ciclismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,10836.0,Alta
TrailChef Double Flame,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,8425.0,Media
